background_pct,tissue_pct,crop_would_help,mean_brightness,std_brightness,split,diagnosis
20.84,79.16,True,81.22,43.42,train,0
52.47,47.53,True,36.88,42.04,train,0
16.65,83.35,True,79.93,37.45,train,1
20.92,79.08,True,75.89,41.14,train,0
9.66,90.34,False,30.95,17.83,train,4
20.83,79.17,True,79.53,42.78,train,0
16.66,83.34,True,93.7,43.07,train,2
16.69,83.31,True,66.56,31.31,train,2
25.38,74.62,True,70.57,41.65,train,2
52.48,47.52,True,37.98,41.83,train,0
20.93,79.07,True,85.95,45.31,train,0
20.9,79.1,True,92.11,48.5,train,0
9.48,90.52,False,73.49,39.05,train,2
20.89,79.11,True,81.12,45.37,train,0
26.52,73.48,True,49.23,31.84,train,3
52.6,47.4,True,23.94,26.48,train,0
24.91,75.09,True,64.19,37.35,train,2
20.29,79.71,True,45.4,28.78,train,0
16.65,83.35,True,76.05,34.67,train,1
20.3,79.7,True,39.69,26.15,train,0
1.95,98.05,False,45.7,16.21,train,0
25.37,74.63,True,70.36,40.82,train,4
7.37,92.63,False,59.83,25.55,train,0
25.34,74.66,True,89.17,52.45,train,2
52.4,47.6,True,47.91,51.92,train,0
20.86,79.14,True,68.62,36.6,train,0
16.72,83.28,True,74.9,36.42,train,1
20.96,79.04,True,77.16,42.07,train,0
9.35,90.65,False,59.15,34.88,train,2
52.38,47.62,True,53.34,56.36,train,0
24.86,75.14,True,61.33,36.79,train,2
45.29,54.71,True,55.97,51.41,train,1
20.9,79.1,True,85.18,45.63,train,0
52.43,47.57,True,48.06,52.65,train,0
20.91,79.09,True,84.6,46.72,train,0
9.54,90.46,False,40.36,15.94,train,0
28.65,71.35,True,39.12,28.23,train,2
25.4,74.6,True,55.33,33.34,train,4
20.97,79.03,True,65.03,35.89,train,0
16.71,83.29,True,60.79,29.89,train,0
16.67,83.33,True,68.34,32.05,train,2
9.57,90.43,False,54.64,25.89,train,2
20.84,79.16,True,86.12,46.12,train,0
16.64,83.36,True,79.37,36.14,train,3
20.8,79.2,True,79.74,41.74,train,0
4.78,95.22,False,81.49,30.34,train,0
52.68,47.32,True,23.7,26.41,train,0
20.29,79.71,True,44.67,29.95,train,0
9.51,90.49,False,42.1,16.67,train,4
16.61,83.39,True,80.35,40.47,train,0
26.24,73.76,True,49.24,33.06,train,2
20.71,79.29,True,89.82,47.14,train,0
26.44,73.56,True,79.6,49.1,train,4
20.71,79.29,True,89.65,48.21,train,0
16.67,83.33,True,69.2,33.27,train,1
20.28,79.72,True,49.06,28.97,train,0
20.91,79.09,True,76.81,41.77,train,0
20.8,79.2,True,83.15,45.16,train,0
16.66,83.34,True,74.43,34.38,train,1
9.56,90.44,False,50.05,23.92,train,2
20.87,79.13,True,80.41,43.76,train,0
9.43,90.57,False,48.33,23.86,train,2
21.05,78.95,True,82.0,43.92,train,2
25.38,74.62,True,80.38,48.22,train,2
16.68,83.32,True,62.79,29.74,train,1
9.58,90.42,False,43.15,19.43,train,2
9.34,90.66,False,58.62,22.51,train,0
1.03,98.97,False,71.62,27.51,train,2
16.67,83.33,True,66.5,32.06,train,4
16.65,83.35,True,83.86,39.17,train,2
20.28,79.72,True,44.75,29.1,train,0
25.36,74.64,True,73.4,43.48,train,4
16.65,83.35,True,59.39,27.53,train,2
52.42,47.58,True,52.99,60.07,train,0
52.49,47.51,True,36.67,40.41,train,0
52.38,47.62,True,48.44,52.08,train,0
1.06,98.94,False,86.72,17.06,train,3
25.41,74.59,True,77.19,46.05,train,2
20.78,79.22,True,79.96,42.56,train,0
26.5,73.5,True,63.26,40.14,train,2
24.87,75.13,True,56.02,32.79,train,1
16.71,83.29,True,58.55,28.07,train,1
16.65,83.35,True,67.34,32.04,train,2
26.45,73.55,True,66.55,40.4,train,2
16.71,83.29,True,67.0,35.85,train,2
9.21,90.79,False,63.32,27.01,train,3
16.68,83.32,True,60.81,31.12,train,1
16.65,83.35,True,85.37,38.61,train,2
52.51,47.49,True,53.99,57.91,train,0
20.89,79.11,True,83.56,45.9,train,0
20.96,79.04,True,71.68,39.64,train,0
20.9,79.1,True,70.36,37.72,train,0
16.61,83.39,True,87.86,41.75,train,3
52.49,47.51,True,43.54,47.63,train,0
9.34,90.66,False,76.72,30.53,train,2
25.41,74.59,True,80.34,46.92,train,2
21.09,78.91,True,66.59,39.01,train,0
27.95,72.05,True,46.48,30.91,train,1
20.91,79.09,True,84.05,44.66,train,0
20.28,79.72,True,46.54,26.18,train,0
9.22,90.78,False,71.39,39.66,train,0
16.73,83.27,True,52.45,25.09,train,1
25.36,74.64,True,102.55,60.36,train,2
16.64,83.36,True,81.83,40.11,train,4
20.94,79.06,True,87.45,47.69,train,0
25.37,74.63,True,76.84,45.01,train,2
26.49,73.51,True,59.77,38.31,train,2
20.91,79.09,True,90.75,50.22,train,0
20.32,79.68,True,54.08,37.96,train,0
9.2,90.8,False,74.35,36.76,train,0
52.41,47.59,True,65.53,70.73,train,0
20.91,79.09,True,79.1,43.03,train,0
16.66,83.34,True,75.46,37.21,train,2
25.32,74.68,True,67.5,39.93,train,2
9.54,90.46,False,47.21,27.09,train,3
18.72,81.28,True,54.85,26.72,train,3
20.93,79.07,True,76.29,41.54,train,0
16.64,83.36,True,66.04,30.83,train,4
16.65,83.35,True,64.89,30.71,train,2
10.6,89.4,False,63.12,37.52,train,3
52.52,47.48,True,43.68,49.7,train,0
16.64,83.36,True,85.38,39.5,train,1
2.0,98.0,False,83.13,42.83,train,0
20.78,79.22,True,86.83,44.9,train,0
9.72,90.28,False,30.91,19.08,train,4
52.56,47.44,True,44.48,49.67,train,0
52.57,47.43,True,28.7,31.98,train,0
28.27,71.73,True,40.99,26.85,train,2
25.07,74.93,True,94.05,54.66,train,2
52.45,47.55,True,47.93,52.02,train,0
8.23,91.77,False,82.46,31.1,train,2
20.77,79.23,True,77.65,42.2,train,0
7.36,92.64,False,56.15,21.57,train,0
16.74,83.26,True,49.24,26.42,train,2
26.52,73.48,True,47.6,29.6,train,4
16.69,83.31,True,58.13,27.87,train,1
25.36,74.64,True,80.68,47.54,train,2
8.2,91.8,False,93.46,42.96,train,2
16.65,83.35,True,72.27,32.59,train,1
20.31,79.69,True,38.59,22.67,train,0
20.95,79.05,True,84.22,44.66,train,0
21.02,78.98,True,79.11,42.83,train,0
21.03,78.97,True,60.65,34.0,train,0
52.48,47.52,True,51.16,55.0,train,0
24.81,75.19,True,72.83,43.05,train,4
20.8,79.2,True,85.48,45.8,train,0
52.34,47.66,True,60.04,64.91,train,0
24.92,75.08,True,62.58,37.63,train,4
21.03,78.97,True,76.56,43.13,train,0
9.45,90.55,False,55.73,25.54,train,0
16.24,83.76,True,80.85,42.06,train,2
9.5,90.5,False,54.86,27.0,train,0
1.06,98.94,False,107.68,19.07,train,2
24.75,75.25,True,58.63,35.56,train,3
52.74,47.26,True,20.69,23.39,train,0
16.67,83.33,True,64.26,30.94,train,4
28.47,71.53,True,64.42,47.77,train,4
20.94,79.06,True,73.65,39.39,train,0
16.62,83.38,True,90.57,42.17,train,2
52.49,47.51,True,35.62,40.34,train,0
16.7,83.3,True,45.17,22.56,train,1
16.71,83.29,True,82.43,37.87,train,1
20.74,79.26,True,86.66,46.88,train,0
16.62,83.38,True,77.44,35.89,train,1
25.41,74.59,True,69.74,41.01,train,2
20.89,79.11,True,75.66,41.01,train,2
20.82,79.18,True,88.81,47.78,train,0
24.86,75.14,True,71.18,40.8,train,2
20.92,79.08,True,70.39,38.11,train,4
9.35,90.65,False,84.75,47.12,train,0
16.68,83.32,True,66.33,30.75,train,4
26.47,73.53,True,74.17,45.39,train,2
24.56,75.44,True,65.66,39.05,train,2
24.4,75.6,True,68.71,40.02,train,2
20.93,79.07,True,70.34,38.24,train,2
20.91,79.09,True,71.41,40.01,train,0
26.49,73.51,True,59.77,38.31,train,2
25.45,74.55,True,63.84,37.52,train,2
20.87,79.13,True,79.66,43.04,train,0
25.4,74.6,True,65.97,39.31,train,2
16.7,83.3,True,64.83,31.65,train,2
25.4,74.6,True,64.74,38.19,train,2
16.68,83.32,True,56.26,27.2,train,2
21.14,78.86,True,47.09,27.02,train,4
16.67,83.33,True,73.65,37.12,train,1
26.14,73.86,True,56.54,36.9,train,2
20.3,79.7,True,40.78,25.58,train,0
20.8,79.2,True,79.28,43.08,train,0
25.37,74.63,True,82.41,48.88,train,2
52.71,47.29,True,19.54,23.78,train,0
28.61,71.39,True,44.67,29.78,train,2
20.73,79.27,True,74.84,40.41,train,2
16.68,83.32,True,65.55,30.7,train,4
25.33,74.67,True,89.4,52.32,train,2
0.43,99.57,False,82.66,34.4,train,3
9.45,90.55,False,60.74,29.59,train,0
16.71,83.29,True,56.58,25.92,train,4
25.35,74.65,True,70.27,42.35,train,2
20.95,79.05,True,75.86,42.58,train,0
9.49,90.51,False,40.92,18.61,train,0
25.38,74.62,True,71.62,42.34,train,3
9.43,90.57,False,58.71,27.28,train,0
20.55,79.45,True,65.63,56.44,train,0
21.0,79.0,True,74.7,41.82,train,0
16.69,83.31,True,59.7,28.51,train,2
1.06,98.94,False,95.06,16.38,train,2
16.71,83.29,True,75.02,37.2,train,0
20.88,79.12,True,87.89,47.15,train,0
52.71,47.29,True,17.15,22.54,train,0
9.1,90.9,False,60.08,32.65,train,2
20.3,79.7,True,44.71,29.07,train,0
20.95,79.05,True,78.18,43.41,train,0
25.47,74.53,True,90.05,52.24,train,2
25.36,74.64,True,80.09,46.74,train,3
20.8,79.2,True,83.36,45.42,train,0
52.53,47.47,True,48.41,52.58,train,0
21.21,78.79,True,48.32,30.62,train,0
52.43,47.57,True,39.98,44.22,train,0
25.4,74.6,True,63.62,39.86,train,3
16.64,83.36,True,56.81,27.74,train,2
2.11,97.89,False,57.05,23.53,train,0
20.32,79.68,True,35.32,25.71,train,0
16.64,83.36,True,82.05,37.34,train,4
20.75,79.25,True,93.93,49.15,train,0
16.63,83.37,True,90.62,41.47,train,4
25.36,74.64,True,77.85,45.12,train,2
24.87,75.13,True,61.08,35.82,train,2
26.45,73.55,True,62.68,39.16,train,2
16.72,83.28,True,56.16,27.68,train,0
0.4,99.6,False,81.44,37.99,train,0
20.89,79.11,True,82.85,44.36,train,0
9.44,90.56,False,42.61,18.18,train,0
20.95,79.05,True,83.91,45.51,train,0
52.48,47.52,True,48.45,52.51,train,0
20.79,79.21,True,85.84,45.03,train,0
20.73,79.27,True,85.24,44.45,train,0
24.6,75.4,True,54.46,32.19,train,4
16.68,83.32,True,72.68,33.21,train,1
16.67,83.33,True,73.93,33.29,train,1
20.82,79.18,True,76.64,41.28,train,2
9.67,90.33,False,44.1,19.85,train,0
20.97,79.03,True,78.93,42.82,train,0
16.66,83.34,True,82.23,38.39,train,1
52.46,47.54,True,40.12,44.32,train,0
24.47,75.53,True,65.3,38.21,train,2
52.41,47.59,True,41.45,45.22,train,0
25.4,74.6,True,62.56,37.14,train,2
20.85,79.15,True,90.4,48.48,val,0
20.66,79.34,True,64.24,37.1,val,2
20.95,79.05,True,80.98,43.9,val,0
20.92,79.08,True,82.28,44.47,val,0
20.94,79.06,True,79.83,44.76,val,0
52.69,47.31,True,19.25,22.85,val,0
1.06,98.94,False,82.18,17.75,val,2
52.52,47.48,True,44.89,49.63,val,0
20.31,79.69,True,34.01,22.04,val,0
27.67,72.33,True,51.09,36.31,val,4
25.4,74.6,True,72.88,42.74,val,2
20.92,79.08,True,89.45,49.27,val,0
16.64,83.36,True,79.37,36.14,val,4
20.82,79.18,True,87.43,47.15,val,0
20.78,79.22,True,93.27,49.87,val,0
9.42,90.58,False,58.52,31.04,val,0
25.42,74.58,True,51.39,31.3,val,2
20.92,79.08,True,79.96,43.25,val,0
20.9,79.1,True,82.14,43.99,val,0
25.44,74.56,True,57.4,34.41,val,2
16.65,83.35,True,65.39,30.69,val,1
16.62,83.38,True,96.52,45.07,val,3
16.7,83.3,True,65.05,30.77,val,1
1.06,98.94,False,87.87,23.13,val,2
20.81,79.19,True,80.66,44.08,val,0
25.37,74.63,True,86.69,51.33,val,2
16.65,83.35,True,85.06,40.84,val,1
20.8,79.2,True,87.51,47.48,val,0
20.85,79.15,True,84.78,46.08,val,0
25.54,74.46,True,78.84,46.45,val,3
16.63,83.37,True,83.09,37.8,val,2
20.99,79.01,True,70.84,38.61,val,0
9.62,90.38,False,36.15,21.68,val,2
28.49,71.51,True,64.09,41.63,val,4
9.49,90.51,False,58.53,22.86,val,4
0.6,99.4,False,63.11,31.01,val,2
52.42,47.58,True,47.82,51.81,val,0
16.62,83.38,True,77.26,36.21,val,1
25.45,74.55,True,72.41,42.45,val,2
20.81,79.19,True,87.36,46.08,val,0
20.83,79.17,True,87.47,46.7,val,0
20.87,79.13,True,88.12,47.05,val,0
20.85,79.15,True,83.66,44.29,val,0
52.5,47.5,True,45.65,49.81,val,0
28.49,71.51,True,60.9,39.9,val,1
16.69,83.31,True,57.78,26.92,val,1
25.51,74.49,True,43.2,27.71,val,2
16.71,83.29,True,60.36,27.92,val,3
24.46,75.54,True,66.4,38.01,val,4
27.94,72.06,True,59.39,38.58,val,1
16.66,83.34,True,68.83,31.86,val,1
25.34,74.66,True,84.21,48.61,val,2
28.48,71.52,True,67.08,45.9,val,2
16.69,83.31,True,61.12,32.77,val,2
52.5,47.5,True,40.34,50.62,val,0
52.49,47.51,True,41.56,46.37,val,0
20.93,79.07,True,81.16,43.81,val,0
20.97,79.03,True,85.5,46.5,val,0
27.72,72.28,True,47.42,36.05,val,4
52.38,47.62,True,47.98,51.98,val,0
24.51,75.49,True,51.85,32.29,val,2
25.37,74.63,True,67.36,39.38,val,2
24.84,75.16,True,57.26,33.01,val,2
25.36,74.64,True,85.62,49.62,val,2
9.56,90.44,False,63.82,30.06,val,2
2.08,97.92,False,56.41,22.44,val,0
9.38,90.62,False,47.4,24.13,val,0
9.56,90.44,False,54.68,25.61,val,0
16.72,83.28,True,68.07,32.17,val,2
27.69,72.31,True,51.12,37.27,val,1
20.91,79.09,True,91.13,47.87,val,0
28.14,71.86,True,52.98,34.6,val,4
16.66,83.34,True,88.22,40.76,val,1
20.3,79.7,True,35.5,20.96,val,0
16.63,83.37,True,84.25,38.5,val,3
24.42,75.58,True,75.0,42.72,val,2
20.88,79.12,True,79.69,43.45,val,0
25.39,74.61,True,66.95,39.37,val,2
16.64,83.36,True,71.59,32.77,val,1
25.41,74.59,True,69.74,41.01,val,2
9.45,90.55,False,64.3,26.4,val,2
25.32,74.68,True,98.69,58.04,val,2
25.38,74.62,True,74.17,43.52,val,2
21.01,78.99,True,71.15,38.91,val,0
20.85,79.15,True,84.77,45.33,val,0
20.74,79.26,True,90.79,47.26,val,0
3.42,96.58,False,48.96,26.0,val,0
9.42,90.58,False,40.35,18.84,val,2
20.94,79.06,True,80.86,44.22,val,0
24.51,75.49,True,55.13,33.31,val,2
20.29,79.71,True,40.05,24.69,val,0
52.45,47.55,True,42.1,46.9,val,0
20.3,79.7,True,49.83,32.59,val,0
20.7,79.3,True,92.69,48.72,val,0
52.59,47.41,True,24.48,26.62,val,0
9.57,90.43,False,44.54,19.91,val,0
52.61,47.39,True,25.06,27.99,val,0
20.37,79.63,True,46.21,33.24,val,0
20.91,79.09,True,80.97,43.11,val,0
52.44,47.56,True,43.29,47.93,val,0
27.97,72.03,True,54.05,34.88,val,1
20.28,79.72,True,43.94,28.83,val,0
25.39,74.61,True,54.15,33.47,val,2
20.87,79.13,True,77.32,41.15,val,0
16.54,83.46,True,92.15,42.07,val,1
2.87,97.13,False,57.31,22.34,val,4
20.88,79.12,True,87.49,47.14,val,0
24.6,75.4,True,67.38,39.34,val,4
16.62,83.38,True,94.43,42.47,val,1
52.47,47.53,True,50.21,54.22,val,0
20.94,79.06,True,72.82,39.37,val,0
20.81,79.19,True,74.54,39.97,val,0
16.72,83.28,True,65.52,29.82,val,0
26.46,73.54,True,76.38,46.77,val,2
9.4,90.6,False,62.73,37.35,val,4
52.49,47.51,True,48.17,51.94,val,0
28.5,71.5,True,61.43,41.87,val,4
52.5,47.5,True,56.55,60.27,val,0
9.33,90.67,False,87.04,34.34,val,2
52.46,47.54,True,43.4,48.16,val,0
24.46,75.54,True,88.21,51.23,val,2
20.64,79.36,True,76.85,41.27,val,0
1.49,98.51,False,66.62,29.29,val,0
20.94,79.06,True,72.55,40.6,val,0
45.33,54.67,True,33.52,31.56,val,3
25.35,74.65,True,95.55,55.43,val,2
52.43,47.57,True,55.45,60.54,val,0
0.89,99.11,False,52.14,18.55,val,0
20.29,79.71,True,43.87,26.64,val,0
20.32,79.68,True,55.0,39.76,val,0
16.65,83.35,True,73.07,36.08,val,4
16.59,83.41,True,89.61,41.03,val,1
25.39,74.61,True,77.31,45.27,val,4
26.57,73.43,True,45.98,30.96,val,2
1.53,98.47,False,49.54,16.81,val,0
20.84,79.16,True,88.53,46.72,val,0
20.88,79.12,True,91.93,48.63,val,0
20.9,79.1,True,77.17,41.75,val,0
25.43,74.57,True,58.66,35.34,val,3
0.89,99.11,False,95.58,34.09,val,0
45.17,54.83,True,75.82,68.42,val,3
20.99,79.01,True,71.04,39.52,val,0
16.65,83.35,True,90.45,43.75,val,3
20.32,79.68,True,40.06,26.0,val,0
20.78,79.22,True,82.82,44.49,val,0
20.86,79.14,True,77.5,41.48,val,0
52.49,47.51,True,47.43,50.96,val,0
52.47,47.53,True,51.62,55.4,val,0
52.51,47.49,True,29.97,33.46,val,0
20.82,79.18,True,77.56,40.59,val,0
16.6,83.4,True,108.08,48.35,val,2
52.46,47.54,True,48.83,53.02,val,0
9.38,90.62,False,55.74,28.1,val,2
52.5,47.5,True,51.03,55.76,val,0
9.23,90.77,False,70.01,29.62,val,3
26.52,73.48,True,49.99,32.23,val,4
20.92,79.08,True,69.72,38.32,val,0
27.73,72.27,True,51.43,33.4,val,2
20.81,79.19,True,81.05,43.15,val,0
52.55,47.45,True,42.64,47.94,val,0
16.71,83.29,True,51.26,25.27,val,2
9.59,90.41,False,40.38,19.22,val,2
25.35,74.65,True,73.93,43.36,val,2
15.74,84.26,True,79.25,46.93,val,1
16.56,83.44,True,96.61,45.54,val,3
16.64,83.36,True,54.63,27.6,val,1
0.22,99.78,False,92.69,41.89,val,0
16.66,83.34,True,79.87,36.81,val,1
52.46,47.54,True,45.45,55.53,val,0
52.56,47.44,True,43.7,48.21,val,0
16.62,83.38,True,90.07,41.71,val,1
52.52,47.48,True,48.22,51.49,val,0
16.66,83.34,True,76.83,37.42,val,2
9.54,90.46,False,44.0,17.11,val,2
20.88,79.12,True,81.24,45.42,val,0
10.44,89.56,False,77.39,32.74,val,1
52.44,47.56,True,43.06,48.3,val,0
20.98,79.02,True,62.41,34.08,val,0
16.65,83.35,True,84.33,37.7,val,1
9.61,90.39,False,46.62,28.05,val,1
9.46,90.54,False,71.33,32.08,val,4
16.6,83.4,True,107.56,48.86,val,2
16.75,83.25,True,56.59,29.57,val,2
52.44,47.56,True,54.96,59.03,val,0
3.65,96.35,False,52.52,24.26,val,0
52.86,47.14,True,19.64,23.91,val,0
16.67,83.33,True,64.14,31.57,val,2
24.64,75.36,True,56.55,32.79,val,2
20.79,79.21,True,79.31,42.39,val,0
9.58,90.42,False,51.76,23.79,val,2
16.62,83.38,True,90.07,41.71,val,1
20.91,79.09,True,76.66,42.42,val,0
24.79,75.21,True,81.54,47.05,val,1
26.54,73.46,True,51.14,33.52,val,2
16.65,83.35,True,88.1,43.13,val,2
20.74,79.26,True,84.38,45.87,val,0
52.74,47.26,True,23.27,28.23,val,0
21.21,78.79,True,49.0,28.84,val,0
9.65,90.35,False,53.12,30.54,val,2
16.7,83.3,True,66.85,31.06,val,1
9.53,90.47,False,60.81,29.08,val,0
20.76,79.24,True,91.12,48.15,val,0
0.4,99.6,False,89.01,42.12,val,0
25.33,74.67,True,87.4,50.93,val,2
28.0,72.0,True,53.79,34.72,val,3
20.93,79.07,True,79.72,43.18,val,0
9.47,90.53,False,47.96,20.74,val,2
24.64,75.36,True,60.53,35.0,val,2
52.67,47.33,True,21.98,25.84,val,0
16.65,83.35,True,87.9,47.14,val,3
25.41,74.59,True,72.64,42.33,val,3
9.37,90.63,False,52.68,22.05,val,0
52.46,47.54,True,42.87,45.7,val,0
25.42,74.58,True,47.37,28.24,val,4
52.43,47.57,True,40.62,44.85,val,0
21.01,78.99,True,71.81,40.71,val,0
16.72,83.28,True,54.61,27.85,val,1
16.41,83.59,True,96.43,48.42,val,2
20.91,79.09,True,78.3,42.87,val,0
16.67,83.33,True,66.87,31.97,val,2
21.0,79.0,True,68.33,37.53,val,2
25.39,74.61,True,85.63,49.87,val,2
20.29,79.71,True,41.69,25.86,val,0
9.03,90.97,False,77.2,41.14,val,0
52.53,47.47,True,46.62,52.23,val,0
16.61,83.39,True,75.7,37.09,val,2
3.55,96.45,False,54.27,27.88,val,0
28.4,71.6,True,82.18,53.42,val,2
20.91,79.09,True,76.72,41.45,val,0
25.45,74.55,True,35.95,21.31,val,2
52.47,47.53,True,52.25,56.06,val,0
9.56,90.44,False,47.89,24.57,val,0
20.84,79.16,True,79.77,42.26,val,0
52.48,47.52,True,51.19,54.72,val,0
20.92,79.08,True,71.49,37.87,val,0
25.12,74.88,True,83.51,51.26,val,2
52.47,47.53,True,50.51,56.82,val,0
25.36,74.64,True,95.85,56.14,val,2
16.64,83.36,True,80.64,36.46,val,2
24.55,75.45,True,77.37,46.18,val,2
1.06,98.94,False,84.68,18.44,val,2
9.79,90.21,False,62.85,34.19,val,1
2.45,97.55,False,60.74,28.55,val,4
20.76,79.24,True,94.64,50.25,val,0
9.04,90.96,False,61.08,23.52,val,0
24.82,75.18,True,67.62,39.04,val,2
9.45,90.55,False,45.99,17.73,val,2
25.36,74.64,True,75.5,44.17,val,2
20.86,79.14,True,91.17,48.2,val,0
52.43,47.57,True,43.13,47.96,val,0
16.65,83.35,True,58.45,26.68,val,1
9.45,90.55,False,51.6,24.93,val,0
20.89,79.11,True,91.32,49.07,val,0
5.79,94.21,False,77.07,34.45,val,0
24.98,75.02,True,61.13,36.51,val,2
16.67,83.33,True,64.24,30.65,val,3
52.61,47.39,True,22.65,26.4,val,0
20.88,79.12,True,93.73,50.2,val,0
1.06,98.94,False,116.68,21.26,val,2
25.37,74.63,True,66.96,40.02,val,2
52.46,47.54,True,45.63,50.21,val,0
21.03,78.97,True,76.67,44.62,val,0
25.43,74.57,True,58.16,33.71,val,2
52.5,47.5,True,45.49,54.0,val,0
10.71,89.29,False,48.47,23.18,val,1
20.84,79.16,True,77.57,41.86,val,0
25.61,74.39,True,77.74,45.87,val,2
10.83,89.17,False,45.76,24.65,val,4
9.49,90.51,False,57.86,26.11,val,4
9.48,90.52,False,47.94,21.54,val,2
27.74,72.26,True,46.0,29.84,val,3
28.28,71.72,True,61.12,39.55,val,4
20.92,79.08,True,73.74,39.94,val,0
20.71,79.29,True,90.09,47.69,val,0
28.23,71.77,True,62.63,41.29,val,1
20.97,79.03,True,71.66,39.47,val,0
16.71,83.29,True,66.91,31.83,val,2
52.51,47.49,True,44.38,49.72,val,0
20.77,79.23,True,75.53,41.51,val,0
20.91,79.09,True,88.24,49.98,val,0
24.51,75.49,True,46.49,28.94,val,2
52.7,47.3,True,21.54,26.25,val,0
9.45,90.55,False,48.89,23.79,val,2
9.37,90.63,False,63.57,37.07,val,0
25.49,74.51,True,90.62,53.13,val,1
52.41,47.59,True,48.83,52.65,val,0
9.21,90.79,False,98.13,36.52,val,4
9.06,90.94,False,90.6,40.66,val,0
16.72,83.28,True,74.9,36.42,val,2
16.73,83.27,True,51.88,23.66,val,2
25.37,74.63,True,74.81,43.63,val,2
16.62,83.38,True,100.73,45.98,val,1
25.49,74.51,True,57.76,35.58,val,4
8.76,91.24,False,50.08,28.14,val,3
9.57,90.43,False,33.67,13.52,val,0
9.49,90.51,False,59.88,31.23,val,0
20.88,79.12,True,79.41,42.94,val,0
16.63,83.37,True,74.3,34.3,val,1
9.41,90.59,False,60.18,32.05,val,0
52.47,47.53,True,58.25,63.63,val,0
52.48,47.52,True,50.68,54.52,test,0
25.34,74.66,True,86.88,50.78,test,2
20.37,79.63,True,40.05,27.43,test,0
52.43,47.57,True,40.17,44.31,test,0
20.9,79.1,True,78.13,42.61,test,0
25.49,74.51,True,73.37,43.59,test,4
16.75,83.25,True,66.37,31.75,test,1
20.0,80.0,True,80.59,45.18,test,0
20.89,79.11,True,76.63,42.18,test,0
52.41,47.59,True,47.0,52.57,test,0
28.52,71.48,True,57.5,38.75,test,1
26.52,73.48,True,49.23,31.84,test,3
20.93,79.07,True,78.63,42.66,test,0
20.94,79.06,True,77.8,42.02,test,0
16.67,83.33,True,55.28,29.53,test,1
28.51,71.49,True,54.15,38.88,test,3
20.94,79.06,True,77.67,41.75,test,0
25.56,74.44,True,68.14,41.43,test,2
9.47,90.53,False,58.05,32.52,test,0
25.32,74.68,True,79.54,45.99,test,1
7.76,92.24,False,72.0,39.77,test,1
20.82,79.18,True,84.73,44.67,test,0
16.66,83.34,True,78.83,37.69,test,2
3.97,96.03,False,54.54,19.32,test,0
20.94,79.06,True,84.99,45.82,test,0
20.9,79.1,True,89.9,47.71,test,0
2.41,97.59,False,57.15,21.68,test,0
20.6,79.4,True,91.64,48.08,test,0
26.43,73.57,True,80.22,48.69,test,2
52.64,47.36,True,20.92,23.67,test,0
20.73,79.27,True,78.33,42.26,test,0
16.62,83.38,True,85.19,38.86,test,1
